,player,org,region,event,rounds,rating,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS,CS,KMAX,KILLS,DEATHS,ASSISTS,FK,FD
71,Knight,['BLG'],"['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHAMPIONS', 'CHINA']",915.0,0.85,192.775,0.99,64.0,117.44999999999999,0.68,0.33,0.060000000000000005,0.07500000000000001,28.0,,24,643.0,620.0,303.0,28.0,30.0
72,Lakia,['GEN'],"['INT', 'PACIFIC']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS SHANGHAI', 'MASTERS MADRID']",2293.0,0.922,168.08333333333334,0.8983333333333333,72.4,114.28333333333332,0.5866666666666668,0.3016666666666667,0.07333333333333335,0.07833333333333334,25.2,25.25,24,1374.0,1516.0,766.0,155.0,185.0
73,Laz,['ZETA'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",795.0,1.0133333333333334,197.70000000000002,1.0466666666666666,68.0,132.86666666666667,0.71,0.19999999999999998,0.10333333333333333,0.08333333333333333,29.333333333333332,9.666666666666666,23,569.0,539.0,163.0,84.0,67.0
74,Leo,['FNC'],"['INT', 'EMEA']","['KICKOFF', 'STAGE 1', 'MASTERS SHANGHAI']",859.0,1.105,194.5666666666667,1.1633333333333333,79.0,129.93333333333337,0.6933333333333334,0.3499999999999999,0.04666666666666667,0.043333333333333335,24.5,10.0,28,632.0,496.0,309.0,38.0,29.0
75,Less,['LOUD'],"['NA', 'INT']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'MASTERS MADRID']",1081.0,1.105,205.7,1.1900000000000002,73.25,142.07500000000002,0.7450000000000001,0.2475,0.08,0.07250000000000001,29.75,8.0,27,801.0,681.0,269.0,89.0,78.0
76,Levius,['BLG'],['CHINA'],['STAGE 1'],142.0,,149.9,0.75,,,0.54,0.24,,,,,18,76.0,102.0,34.0,0.0,0.0
77,Life,['FPX'],"['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHAMPIONS', 'CHINA', 'MASTERS SHANGHAI', 'MASTERS MADRID']",1634.0,0.855,225.70000000000002,1.0199999999999998,63.5,142.775,0.7833333333333332,0.17500000000000002,0.1725,0.1975,34.5,29.0,30,1296.0,1242.0,297.0,188.0,204.0
78,Lightningfast,['GE'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",631.0,0.8666666666666667,171.46666666666667,0.8266666666666667,68.33333333333333,111.33333333333333,0.61,0.30666666666666664,0.07333333333333333,0.07,33.666666666666664,15.0,24,399.0,462.0,205.0,48.0,46.0
79,Lmemore,['RRQ'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",708.0,0.9566666666666667,202.0,0.96,66.33333333333333,135.83333333333334,0.7133333333333333,0.19999999999999998,0.10000000000000002,0.14333333333333334,33.666666666666664,15.333333333333334,33,510.0,518.0,152.0,70.0,93.0
80,LockM,['TEC'],['CHINA'],"['KICKOFF', 'STAGE 1', 'CHINA']",826.0,,167.76666666666668,0.8166666666666668,,110.8,0.5800000000000001,0.29000000000000004,0.04,0.06,,,25,480.0,587.0,239.0,10.0,16.0
