,agents_played,assists,assists_per_round,average_combat_score,average_damage_per_round,clutch_success_percentage,deaths,fd,first_deaths_per_round,first_kills_per_round,fk,headshot_percentage,kill_assists_survived_traded,kill_deaths,kills,kills_per_round,kmax,org,player,rating,rounds,region,event
661,"['viper', 'killjoy', 'breach']",115,0.32,193.0,124.5,11,258,41,0.12,0.09,31,29,74,0.91,236,0.66,22,TL,Jamppi,0.92,355,EMEA,STAGE 1
662,"['kayo', 'sova', 'sage']",100,0.37,176.8,111.4,12,190,36,0.13,0.12,32,30,65,0.85,161,0.60,19,BBL,pAura,0.92,268,EMEA,STAGE 1
663,"['viper', 'kayo', 'brimstone']",68,0.43,182.6,125.4,12,114,18,0.11,0.06,9,23,70,0.84,96,0.60,17,TH,paTiTek,0.91,160,EMEA,STAGE 1
664,"['viper', 'cypher']",71,0.25,179.2,124.7,12,198,21,0.07,0.10,29,27,68,0.91,180,0.64,30,GX,hoody,0.91,281,EMEA,STAGE 1
665,"['sova', 'viper', 'skye']",98,0.37,156.5,108.5,24,180,19,0.07,0.04,10,29,68,0.78,141,0.53,15,BBL,reazy,0.90,268,EMEA,STAGE 1
666,"['harbor', 'omen', 'brimstone']",255,0.39,151.3,98.8,14,418,65,0.10,0.06,39,20,73,0.78,327,0.51,21,FNC,Boaster,0.90,646,EMEA,STAGE 1
667,"['breach', 'sova', 'gekko']",67,0.28,161.1,104.7,,168,22,0.09,0.04,10,21,66,0.79,132,0.55,18,KOI,ShadoW,0.89,239,EMEA,STAGE 1
668,"['brimstone', 'omen', 'viper']",109,0.33,176.0,122.7,11,238,28,0.08,0.07,22,24,68,0.85,203,0.61,23,VIT,ceNder,0.89,331,EMEA,STAGE 1
669,"['raze', 'yoru', 'jett']",78,0.24,211.8,139.2,14,257,70,0.21,0.17,56,17,66,0.91,235,0.71,23,VIT,runneR,0.88,331,EMEA,STAGE 1
670,"['deadlock', 'killjoy', 'sova']",113,0.34,165.3,109.8,18,234,15,0.05,0.04,13,21,75,0.86,202,0.61,24,VIT,Kicks,0.87,331,EMEA,STAGE 1
671,"['cypher', 'omen', 'kayo']",95,0.34,150.5,97.6,21,196,26,0.09,0.06,18,37,68,0.77,151,0.54,18,GX,Redgar,0.86,281,EMEA,STAGE 1
672,"['yoru', 'neon', 'jett']",49,0.26,190.9,130.1,,149,27,0.15,0.16,29,19,63,0.81,120,0.65,24,M8,TakaS,0.83,186,EMEA,STAGE 1
673,"['sova', 'kayo', 'skye']",69,0.37,178.9,119.6,3,146,15,0.08,0.06,11,22,70,0.79,116,0.62,25,M8,beyAz,0.82,186,EMEA,STAGE 1
674,"['omen', 'cypher', 'viper']",42,0.23,125.4,85.8,12,134,12,0.06,0.06,11,26,59,0.64,86,0.46,15,M8,Wailers,0.77,186,EMEA,STAGE 1
