,agents_played,assists,assists_per_round,average_combat_score,average_damage_per_round,clutch_success_percentage,deaths,fd,first_deaths_per_round,first_kills_per_round,fk,headshot_percentage,kill_assists_survived_traded,kill_deaths,kills,kills_per_round,kmax,org,player,rating,rounds,region,event
47,['kayo'],51,0.46,179.4,111.7,,84,14,0.13,0.11,12,39,67,0.76,64,0.58,14,KRÜ,mta,0.89,110,NA,KICKOFF
48,"['raze', 'gekko']",32,0.27,189.5,117.0,22,95,18,0.15,0.11,13,17,71,0.76,72,0.60,18,100T,Asuna,0.88,120,NA,KICKOFF
49,"['skye', 'viper', 'kayo']",103,0.38,161.6,109.1,14,187,25,0.09,0.07,19,29,66,0.79,147,0.54,19,MIBR,mazin,0.88,274,NA,KICKOFF
50,"['harbor', 'omen', 'astra']",65,0.35,163.6,112.8,28,135,23,0.12,0.06,11,26,67,0.78,105,0.56,18,LEV,Mazino,0.84,186,NA,KICKOFF
51,"['breach', 'kayo']",45,0.41,148.4,94.0,13,83,2,0.02,0.06,7,27,72,0.66,55,0.50,18,EG,NaturE,0.80,110,NA,KICKOFF
52,"['gekko', 'cypher', 'killjoy']",47,0.25,167.0,115.5,,147,28,0.15,0.11,20,27,70,0.73,107,0.58,19,LEV,tex,0.76,186,NA,KICKOFF
53,"['kayo', 'raze']",26,0.29,171.3,111.6,,69,20,0.22,0.13,12,27,56,0.72,50,0.56,20,FUR,havoc,0.75,90,NA,KICKOFF
54,"['viper', 'omen', 'astra']",31,0.28,137.4,87.3,6,81,13,0.12,0.05,5,30,66,0.67,54,0.49,13,KRÜ,Melser,0.73,110,NA,KICKOFF
55,"['jett', 'phoenix', 'raze']",91,0.17,260.3,175.1,11,344,58,0.11,0.16,89,31,75,1.51,519,0.95,47,LEV,aspas,1.25,544,NA,STAGE 1
56,"['jett', 'raze']",86,0.22,291.1,185.6,18,307,66,0.17,0.24,93,29,75,1.26,387,1.01,35,C9,OXY,1.22,383,NA,STAGE 1
57,"['jett', 'astra', 'brimstone']",123,0.27,243.0,161.1,12,298,29,0.06,0.14,65,24,77,1.35,402,0.88,33,100T,Cryocells,1.22,457,NA,STAGE 1
